Zip,Median,Pop
5667,54631,2166
5669,55730,634
5672,56250,4314
5673,62562,2574
5674,64514,1705
5675,57055,1064
5676,63664,4984
5677,60452,2232
5678,58869,163
5679,50516,3296
5680,48859,2168
5681,58393,458
5682,61718,1251
5701,42778,20802
5730,53187,302
5732,44623,708
5733,44363,5895
5734,60369,1306
5735,44078,4402
5736,53468,684
5737,63625,875
5738,62566,1072
5739,59927,1407
5740,46515,25
5742,53187,597
5743,46220,4330
5744,58157,533
5747,51378,280
5748,51378,323
5751,62708,811
5753,48922,10491
5757,53955,832
5758,53187,784
5759,55802,1827
5760,60074,1123
5761,52391,1000
5762,63625,542
5763,61796,2747
5764,47008,3452
5765,52598,1803
5766,51378,572
5767,43265,1143
5769,46395,1216
5770,60344,1136
5772,56378,713
5773,53513,2136
5774,47224,1129
5775,50761,623
5776,37135,714
5777,45097,3420
5778,57752,733
5819,40064,9444
5820,42076,662
5821,58841,1269
5822,39240,1873
5824,39519,1139
5825,42411,191
5826,42112,983
5827,42111,309
5828,50111,1928
5829,41846,2003
5830,39377,1502
5832,45123,982
5833,40357,273
5836,41573,1068
5837,38273,353
5839,44803,775
5841,44803,425
5842,44053,522
5843,41026,2556
5845,42076,1096
5846,30256,1222
5847,42076,879
5850,44861,231
5851,39882,6528
5853,40357,711
5855,37931,7170
5857,39685,1540
5858,37234,368
5859,39673,1819
5860,41020,2557
5862,48833,356
5866,43052,732
5867,43052,899
5868,39673,364
5871,45404,1638
5872,40320,789
5873,46255,675
5874,39673,505
5875,43419,454
5904,37234,267
5905,11885,264
5906,37234,1178
6001,107974,18385
6002,72180,20486
6010,59700,60448
6013,114992,9326
6016,68764,6226
6018,48038,2865
6019,84996,10129
6021,72000,314
6022,96563,163
6023,85990,1296
6024,46417,647
6026,77596,5117
6029,81892,15547
6031,68674,1287
6032,90956,17675
6033,103875,28762
6035,89957,7513
6037,88662,18565
6039,63587,1942
6040,63871,35306
6042,66288,22942
6043,89426,4986
6051,35037,30519
6052,56008,7858
6053,42717,34863
6057,80718,6707
